Data incidente,Giorno,Denominazione strada o centro abitato,Localita' dell'incidente,Latitudine,Longitudine,Centro abitato,Tipologia del sinistro,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Persone ferite,Pedoni feriti,Persone decedute,Pedoni deceduti,Prognosi riservate,Prognosi fino a 20 gg,Prognosi da 21 a 40 gg,Prognosi oltre 40 gg,N. veicoli coinvolti,Autovettura pr.,Autovettura pb.,Autocarro,Autobus,Motocarro,Motociclo,Ciclomotore,Quadriciclo,Velocipede,Micromobilita' elettrica,Altro,Violazioni,LAT/LONG
28 September 2023,Gio,Via Giovanni Bertacchi in prossimita' del civico n.9/8,MONZA,45.5892645,9.3024397,si,Investimento di pedone,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,1.0,,,,1.0,,,1,1.0,,,,,,,,,,,"Art.158/1 CdS, Art.158/4 CdS",POINT (9.3024397 45.5892645)
20 February 2023,Lun,Viale Liberta' in prossimita' del civico n.87,MONZA,45.5900402,9.2964819,si,Veicolo in marcia contro veicolo in sosta,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,si,si,1.0,,,,,1.0,,,2,2.0,,,,,,,,,,,Art.158/1 CdS,POINT (9.2964819 45.5900402)
29 January 2023,Dom,VIA BORGAZZI in prossimita' del civico n.24,MONZA,45.5720288,9.2667268,si,Scontro frontale fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,1.0,,,,,1.0,,,2,,,,,,,,1.0,1.0,,,Art.189/7 CdS,POINT (9.2667268 45.5720288)
18 February 2023,Sab,Viale delle Industrie all'intersezione con VIA BUONARROTI,MONZA,45.56964,9.29411,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Intenso,no,no,,,,,,,,,2,2.0,,,,,,,,,,,Art.154/8 CdS,POINT (9.29411 45.56964)
26 May 2023,Ven,Via Lecco all'intersezione con Via Nino Bixio,MONZA,45.5908402,9.2886526,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,1.0,,,Art.145/5 CdS,POINT (9.2886526 45.5908402)
11 April 2023,Mar,Via Lario in prossimita' del civico n.54,MONZA,45.5915225,9.2464728,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,,,1.0,,,,,,1.0,,,Art.143/2 CdS,POINT (9.2464728 45.5915225)
09 February 2023,Gio,Via Lecco in prossimita' del palo luce n.50437,MONZA,45.58764927,9.28539046,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Intenso,no,no,,,,,,,,,2,2.0,,,,,,,,,,,Art.154/1 CdS,POINT (9.28539046 45.58764927)
14 April 2023,Ven,VIA ROTA in prossimita' del civico n.5,MONZA,45.5845001,9.2744485,si,Investimento di pedone,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,1.0,,,,1.0,,,1,1.0,,,,,,,,,,,Art.190/2 CdS,POINT (9.2744485 45.5845001)
01 December 2023,Ven,Via Dante Alighieri in prossimita' del civico n.1,MONZA,45.5874822,9.2723154,si,Investimento di pedone,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,no,,,,,,,,,1,1.0,,,,,,,,,,,,POINT (9.2723154 45.5874822)
01 January 2023,Dom,Via San Donato in corrispondenza del civico n.12,MONZA,45.56693,9.28663,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,no,,,,,,,,,1,1.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.28663 45.56693)
